id,food_name,category,serving_units,calories,protein_grams,carbs_grams,fat_grams,is_non_inflammatory,is_probiotic,is_prebiotic,notes,created_at,updated_at
30,Potato - Russet,Nightshades,cup,160.00,4.00,37.00,0.00,f,f,f,Nightshade family - high glycemic,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
28,Tomatoes,Nightshades,cup,32.00,2.00,7.00,0.00,f,f,f,Nightshade family - acidic,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
35,Almonds - Blanched,Nuts,ounces,160.00,6.00,6.00,14.00,t,f,f,Skin removed - less inflammatory,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
34,Almonds - Whole,Nuts,ounces,160.00,6.00,6.00,14.00,f,f,f,Skin may cause inflammation for some,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
37,Pistachios,Nuts,ounces,160.00,6.00,8.00,13.00,t,f,f,High in antioxidants,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
36,Walnuts,Nuts,ounces,185.00,4.00,4.00,18.00,t,f,f,Rich in omega-3 fatty acids,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
45,Avocado Oil,Oils,tbsp,120.00,0.00,0.00,14.00,t,f,f,High smoke point for cooking,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
44,Coconut Oil,Oils,tbsp,120.00,0.00,0.00,14.00,t,f,f,Medium chain triglycerides,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
43,Olive Oil - Extra Virgin,Oils,tbsp,120.00,0.00,0.00,14.00,t,f,f,Anti-inflammatory properties,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
38,Chia Seeds,Seeds,tbsp,60.00,3.00,5.00,4.00,t,f,t,High in omega-3 and fiber,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
39,Flaxseeds - Ground,Seeds,tbsp,37.00,1.30,2.00,3.00,t,f,t,Must be ground for absorption,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
21,Asparagus,Vegetables,cup,20.00,2.00,4.00,0.00,t,f,t,Natural diuretic properties,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
19,Broccoli,Vegetables,cup,25.00,3.00,5.00,0.00,t,f,t,High in fiber and vitamins,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
24,Carrots,Vegetables,cup,50.00,1.00,12.00,0.00,t,f,t,High in beta-carotene,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
23,Kale,Vegetables,cup,33.00,2.00,7.00,0.00,t,f,f,Superfood high in nutrients,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
26,Kimchee,Vegetables,cup,23.00,2.00,4.00,0.00,t,t,f,Korean fermented vegetables,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
25,Sauerkraut,Vegetables,cup,27.00,1.00,6.00,0.00,t,t,f,Fermented cabbage with probiotics,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
20,Spinach - Raw,Vegetables,cup,7.00,1.00,1.00,0.00,t,f,f,High in iron and folate,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
22,Sweet Potato,Vegetables,cup,180.00,4.00,41.00,0.00,t,f,t,High in beta-carotene,2025-08-02 19:41:42.994461,2025-08-02 19:41:42.994461
